question,answer,source,focus_area
What is (are) Anemia in Chronic Kidney Disease ?,"Anemia is a condition in which the body has fewer red blood cells than normal. Red blood cells carry oxygen to tissues and organs throughout the body and enable them to use energy from food. With anemia, red blood cells carry less oxygen to tissues and organsparticularly the heart and brainand those tissues and organs may not function as well as they should.",NIDDK,Anemia in Chronic Kidney Disease
Who is at risk for Anemia of Inflammation and Chronic Disease? ?,"While AI/ACD can affect people at any age, older adults are especially at risk because they have the highest rates of chronic disease. AI/ACD is also common among hospitalized patients, particularly those with chronic illnesses.
                
More than 130 million Americans live with at least one chronic illness.2 Addressing the causes of anemia in people with chronic disease can help improve their health and quality of life.",NIDDK,Anemia of Inflammation and Chronic Disease
What are the symptoms of Anencephaly ?,"What are the signs and symptoms of Anencephaly? The Human Phenotype Ontology provides the following list of signs and symptoms for Anencephaly. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Anencephaly 90% Primary adrenal insufficiency 90% Spina bifida - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Anencephaly
What causes Aneurysm ?,"The force of blood pushing against the walls of an artery combined with damage or injury to the arterys walls can cause an aneurysm.
                
Many conditions and factors can damage and weaken the walls of the aorta and cause aortic aneurysms. Examples include aging, smoking, high blood pressure, and atherosclerosis (ath-er-o-skler-O-sis). Atherosclerosis is the hardening and narrowing of the arteries due to the buildup of a waxy substance called plaque (plak).
                
Rarely, infectionssuch as untreated syphilis (a sexually transmitted infection)can cause aortic aneurysms. Aortic aneurysms also can occur as a result of diseases that inflame the blood vessels, such as vasculitis (vas-kyu-LI-tis).
                
A family history of aneurysms also may play a role in causing aortic aneurysms.
                
In addition to the factors above, certain genetic conditions may cause thoracic aortic aneurysms (TAAs). Examples of these conditions include Marfan syndrome, Loeys-Dietz syndrome, Ehlers-Danlos syndrome (the vascular type), and Turner syndrome.
                
These genetic conditions can weaken the bodys connective tissues and damage the aorta. People who have these conditions tend to develop aneurysms at a younger age than other people. Theyre also at higher risk for rupture and dissection.
                
Trauma, such as a car accident, also can damage the walls of the aorta and lead to TAAs.
                
Researchers continue to look for other causes of aortic aneurysms. For example, theyre looking for genetic mutations (changes in the genes) that may contribute to or cause aneurysms.",NHLBI,Aneurysm
What are the genetic changes related to Angelman syndrome ?,"Many of the characteristic features of Angelman syndrome result from the loss of function of a gene called UBE3A. People normally inherit one copy of the UBE3A gene from each parent. Both copies of this gene are turned on (active) in many of the body's tissues. In certain areas of the brain, however, only the copy inherited from a person's mother (the maternal copy) is active. This parent-specific gene activation is caused by a phenomenon called genomic imprinting. If the maternal copy of the UBE3A gene is lost because of a chromosomal change or a gene mutation, a person will have no active copies of the gene in some parts of the brain.  Several different genetic mechanisms can inactivate or delete the maternal copy of the UBE3A gene. Most cases of Angelman syndrome (about 70 percent) occur when a segment of the maternal chromosome 15 containing this gene is deleted. In other cases (about 11 percent), Angelman syndrome is caused by a mutation in the maternal copy of the UBE3A gene.  In a small percentage of cases, Angelman syndrome results when a person inherits two copies of chromosome 15 from his or her father (paternal copies) instead of one copy from each parent. This phenomenon is called paternal uniparental disomy. Rarely, Angelman syndrome can also be caused by a chromosomal rearrangement called a translocation, or by a mutation or other defect in the region of DNA that controls activation of the UBE3A gene. These genetic changes can abnormally turn off (inactivate) UBE3A or other genes on the maternal copy of chromosome 15.  The causes of Angelman syndrome are unknown in 10 to 15 percent of affected individuals. Changes involving other genes or chromosomes may be responsible for the disorder in these cases.  In some people who have Angelman syndrome, the loss of a gene called OCA2 is associated with light-colored hair and fair skin. The OCA2 gene is located on the segment of chromosome 15 that is often deleted in people with this disorder. However, loss of the OCA2 gene does not cause the other signs and symptoms of Angelman syndrome. The protein produced from this gene helps determine the coloring (pigmentation) of the skin, hair, and eyes.",GHR,Angelman syndrome
Who is at risk for Angina? ?,"Angina is a symptom of an underlying heart problem. Its usually a symptom of coronary heart disease (CHD), but it also can be a symptom of coronary microvascular disease (MVD). So, if youre at risk for CHD or coronary MVD, youre also at risk for angina.
                
The major risk factors for CHD and coronary MVD include:
                
Unhealthy cholesterol levels.
                
High blood pressure.
                
Smoking.
                
Insulin resistance or diabetes.
                
Overweight or obesity.
                
Metabolic syndrome.
                
Lack of physical activity.
                
Unhealthy diet.
                
Older age. (The risk increases for men after 45 years of age and for women after 55 years of age.)
                
Family history of early heart disease.
                
For more detailed information about CHD and coronary MVD risk factors, visit the Diseases and Conditions Index Coronary Heart Disease, Coronary Heart Disease Risk Factors, and Coronary Microvascular Disease articles.
                
People sometimes think that because men have more heart attacks than women, men also suffer from angina more often. In fact, overall, angina occurs equally among men and women.
                
Microvascular angina, however, occurs more often in women. About 70 percent of the cases of microvascular angina occur in women around the time of menopause.
                
Unstable angina occurs more often in older adults. Variant angina is rare; it accounts for only about 2 out of 100 cases of angina. People who have variant angina often are younger than those who have other forms of angina.",NHLBI,Angina
How to diagnose Anxiety Disorders ?,"Anxiety disorders sometimes run in families, but no one knows for sure why some people have them while others don't. Anxiety disorders are more common among younger adults than older adults, and they typically start in early life. However, anyone can develop an anxiety disorder at any time. Below are risk factors for these anxiety disorders. - Generalized Anxiety Disorder (GAD)  -  Social Anxiety Disorder (Social Phobia)  - Panic Disorder Generalized Anxiety Disorder (GAD) Social Anxiety Disorder (Social Phobia) Panic Disorder Generalized Anxiety Disorder - Risk Factors Generalized anxiety disorder (GAD) affects about 6.8 million American adults, including twice as many women as men. The disorder develops gradually and can begin at any point in the life cycle, although the years of highest risk are between childhood and middle age. The average age of onset is 31 years old. Social Phobia - Risk Factors Social phobia affects about 15 million American adults. Women and men are equally likely to develop the disorder, which usually begins in childhood or early adolescence. There is some evidence that genetic factors are involved. Panic Disorder - Risk Factors Panic disorder affects about 6 million American adults and is twice as common in women as men. Panic attacks often begin in late adolescence or early adulthood, but not everyone who experiences panic attacks will develop panic disorder. Many people have just one attack and never have another. The tendency to develop panic attacks appears to be inherited. Diagnosis Can Be Difficult There are a number of reasons why it can be difficult to accurately diagnose an anxiety disorder in older adults. - Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder.  Anxiety disorders among older adults frequently occur at the same time as other illnesses such as depression, diabetes, heart disease, or a number of other medical illnesses. Problems with cognition (thinking) and changes in life circumstances can also complicate matters. Sometimes the physical signs of these illnesses can get mixed up with the symptoms of anxiety, making it difficult to determine if a person has a true anxiety disorder. For instance, a person with heart disease sometimes has chest pain, which can also be a symptom of a panic disorder. -  Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. Doctors can have difficulty distinguishing between anxiety caused by adapting to difficult life changes, and a true anxiety disorder. For example, if you fell and broke a hip, you may be justifiably fearful of going out for a while. But that would not mean you have developed an anxiety disorder. - Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Sometimes the worrying symptoms of a medical illness can lead to an anxiety disorder. Or, sometimes the side effects of medication can cause anxiety. Also, a disability or a change in lifestyle caused by a medical illness may lead to an anxiety disorder. Muscle tightness, feeling very tense all the time, and difficulty sleeping can also be symptoms of a physical illness or an anxiety disorder, complicating diagnosis. Diagnosis Here is how these anxiety disorders are diagnosed. - Generalized Anxiety Disorder (GAD)  - Panic Disorder  - Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) Panic Disorder Social Anxiety Disorder (Social Phobia) Generalized Anxiety Disorder (GAD) - Diagnosis GAD can be diagnosed once a person worries excessively about a variety of everyday problems for at least 6 months. People with GAD may visit a doctor many times before they find out they have this disorder. They ask their doctors to help them with headaches or trouble falling asleep, which can be symptoms of GAD, but they don't always get the help they need right away. It may take doctors some time to be sure that a person has GAD instead of something else. Social Phobia - Diagnosis A doctor can tell that a person has social phobia if the person has had symptoms for at least 6 months. Social phobia usually starts during youth. Without treatment, it can last for many years or a lifetime. Panic Disorder - Diagnosis People with panic disorder may sometimes go from doctor to doctor for years and visit the emergency room repeatedly before someone correctly diagnoses their condition. This is unfortunate, because panic disorder is one of the most treatable of all the anxiety disorders, responding in most cases to certain kinds of medication or certain kinds of cognitive psychotherapy, which help change thinking patterns that lead to fear and anxiety. If You Have Symptoms Anxiety disorders are treatable. If you think you have an anxiety disorder, talk to your family doctor. Your doctor should do an exam to make sure that another physical problem isn't causing the symptoms. The doctor may refer you to a mental health specialist. You should feel comfortable talking with the mental health specialist you choose. If you do not, seek help elsewhere. Once you find a mental health specialist you are comfortable with, you should work as a team and make a plan to treat your anxiety disorder together. Talk About About Past Treatment People with anxiety disorders who have already received treatment for an anxiety disorder should tell their doctor about that treatment in detail. If they received medication, they should tell their doctor what medication was used, what the dosage was at the beginning of treatment, whether the dosage was increased or decreased while they were under treatment, what side effects may have occurred, and whether the treatment helped them become less anxious. If they received psychotherapy, they should describe the type of therapy, how often they attended sessions, and whether the therapy was useful.",NIHSeniorHealth,Anxiety Disorders
What are the treatments for Apert syndrome ?,These resources address the diagnosis or management of Apert syndrome:  - Gene Review: Gene Review: FGFR-Related Craniosynostosis Syndromes  - Genetic Testing Registry: Acrocephalosyndactyly type I  - MedlinePlus Encyclopedia: Apert syndrome  - MedlinePlus Encyclopedia: Webbing of the fingers or toes   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Apert syndrome
What are the treatments for Arts syndrome ?,"These resources address the diagnosis or management of Arts syndrome:  - Gene Review: Gene Review: Arts Syndrome  - Genetic Testing Registry: Arts syndrome  - MedlinePlus Encyclopedia: Hearing Loss  - MedlinePlus Encyclopedia: Movement, Uncoordinated  - MedlinePlus Encyclopedia: Optic Nerve Atrophy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,Arts syndrome
Who is at risk for Asbestos-Related Lung Diseases? ?,"Until the late 1970s, asbestos was widely used in many industries in the United States. During that time, workplace rules to ensure workers' safety around asbestos weren't required by law.
                
Asbestos was used in or with many products. Examples include steam pipes, boilers, furnaces, and furnace ducts; wallboard; floor and ceiling tiles; wood-burning stoves and gas fireplaces; car brakes, clutches, and gaskets; railroad engines; roofing and shingles; and wall-patching materials and paints.
                
Asbestos also was used in many other products, such as fireproof gloves, ironing board covers, cooking pot handles, and hairdryers.
                
Anyone employed for a prolonged period in mining, milling, making, or installing asbestos products before the late 1970s is at risk for asbestos-related lung diseases. Some examples of these workers include:
                
Miners
                
Aircraft and auto mechanics
                
Building construction workers
                
Electricians
                
Shipyard workers
                
Boiler operators
                
Building engineers
                
Railroad workers
                
In general, the risk is greatest for people who worked with asbestos and were exposed for at least several months to visible dust from asbestos fibers. The risk for asbestos-related lung diseases also depends on:
                
How much asbestos you were exposed to.
                
How long you were exposed to asbestos, and how often during that time you were in direct contact with it.
                
The size, shape, and chemical makeup of the asbestos fibers. Different types of asbestos fibers can affect the lungs differently. For example, chrysotile asbestos (a curly fiber) is less likely to cause mesothelioma than amphibole asbestos (a straight fiber).
                
Your personal risks, such as smoking or having an existing lung disease.
                
Family members of people exposed to asbestos on the job also may be at risk. Family members may have breathed in asbestos fibers that were brought home on workers clothes, shoes, and bodies.
                
People who live in areas that have large deposits of asbestos in the soil also are at risk for asbestos-related lung diseases. However, this risk is limited to areas where the deposits were disturbed and asbestos fibers got into the air.
                
Asbestos fibers also can be released into the air when older buildings containing asbestos-made products are destroyed. Removing the products, such as during a building renovation, also can release asbestos fibers into the air.
                
Generally, being around asbestos-made products isnt a danger, as long as the asbestos is enclosed. This prevents the fibers from getting into the air.
                
People in the United States are less likely to develop asbestos-related lung diseases today than in the past. This is because the mineral no longer is widely used. Also, where asbestos is still used, rules and standards are now in place to protect workers and others from asbestos exposure.",NHLBI,Asbestos-Related Lung Diseases
Who is at risk for Asthma? ?,"Asthma affects people of all ages, but it most often starts during childhood. In the United States, more than 22 million people are known to have asthma. Nearly 6 million of these people are children.
                
Young children who often wheeze and have respiratory infectionsas well as certain other risk factorsare at highest risk of developing asthma that continues beyond 6 years of age. The other risk factors include having allergies, eczema (an allergic skin condition), or parents who have asthma.
                
Among children, more boys have asthma than girls. But among adults, more women have the disease than men. It's not clear whether or how sex and sex hormones play a role in causing asthma.
                
Most, but not all, people who have asthma have allergies.
                
Some people develop asthma because of contact with certain chemical irritants or industrial dusts in the workplace. This type of asthma is called occupational asthma.",NHLBI,Asthma
What is (are) Atherosclerosis ?,"Atherosclerosis is a disease in which plaque builds up inside your arteries. Plaque is a sticky substance made up of fat, cholesterol, calcium, and other substances found in the blood. Over time, plaque hardens and narrows your arteries. That limits the flow of oxygen-rich blood to your body.    Atherosclerosis can lead to serious problems, including       - Coronary artery disease. These arteries supply blood to your heart. When they are blocked, you can suffer angina or a heart attack.    - Carotid artery disease. These arteries supply blood to your brain. When they are blocked you can suffer a stroke.    - Peripheral arterial disease. These arteries are in your arms, legs and pelvis. When they are blocked, you can suffer from numbness, pain and sometimes infections.       Atherosclerosis usually doesn't cause symptoms until it severely narrows or totally blocks an artery. Many people don't know they have it until they have a medical emergency.    A physical exam, imaging, and other diagnostic tests can tell if you have it. Medicines can slow the progress of plaque buildup. Your doctor may also recommend procedures such as angioplasty to open the arteries, or surgery on the coronary or carotid arteries. Lifestyle changes can also help. These include following a healthy diet, getting regular exercise, maintaining a healthy weight, quitting smoking, and managing stress.     NIH: National Heart, Lung, and Blood Institute",MPlusHealthTopics,Atherosclerosis
How to prevent Atrial Fibrillation ?,"Following a healthy lifestyle and taking steps to lower your risk for heart disease may help you prevent atrial fibrillation (AF). These steps include:
                
Following a heart healthy diet that's low in saturated fat, trans fat, and cholesterol. A healthy diet includes a variety of whole grains, fruits, and vegetables daily.
                
Not smoking.
                
Being physically active.
                
Maintaining a healthy weight.
                
If you already have heart disease or other AF risk factors, work with your doctor to manage your condition. In addition to adopting the healthy habits above, which can help control heart disease, your doctor may advise you to: 
                
Follow the DASH eating plan to help lower your blood pressure.
                
Keep your cholesterol and triglycerides at healthy levels with dietary changes and medicines (if prescribed).
                
Limit or avoid alcohol.
                
Control your blood sugar level if you have diabetes.
                
Get ongoing medical care and take your medicines as prescribed.
                
For more information about following a healthy lifestyle, visit the National Heart, Lung, and Blood Institute's Aim for a Healthy Weight Web site, ""Your Guide to a Healthy Heart,"" ""Your Guide to Lowering Your Blood Pressure With DASH,"" and ""Your Guide to Physical Activity and Your Heart.""",NHLBI,Atrial Fibrillation
What are the treatments for Bartter syndrome ?,"How might Bartter syndrome be treated? Treatment of Bartter syndrome depends on the type of the syndrome that the affected individual has, but it primarily focuses on preventing the loss of too much of potassium from the body. This may include oral potassium (K) supplements, medication such as indomethacin, and potassium-sparing diuretics. In high-stress situations such as illness or trauma, blood electrolyte levels can change rapidly, which may require immediate intravenous treatment. Genetic counseling may benefit affected individuals and their families. eMedicine has an article containing additional, thorough information about the management and treatment of Bartter syndrome. Click here to view this information.",GARD,Bartter syndrome
How to diagnose Bile Duct Cancer (Cholangiocarcinoma) ?,"Tests that examine the bile ducts and nearby organs are used to detect (find), diagnose, and stage bile duct cancer. Procedures that make pictures of the bile ducts and the nearby area help diagnose bile duct cancer and show how far the cancer has spread. The process used to find out if cancer cells have spread within and around the bile ducts or to distant parts of the body is called staging.    In order to plan treatment, it is important to know if the bile duct cancer can be removed by surgery. Tests and procedures to detect, diagnose, and stage bile duct cancer are usually done at the same time.   The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.    -   Liver function tests : A procedure in which a blood sample is checked to measure the amounts of bilirubin and alkaline phosphatase released into the blood by the liver. A higher than normal amount of these substances can be a sign of liver disease that may be caused by bile duct cancer.    -   Laboratory tests : Medical procedures that test samples of tissue, blood, urine, or other substances in the body. These tests help to diagnose disease, plan and check treatment, or monitor the disease over time.    -   Carcinoembryonic antigen (CEA) and CA 19-9 tumor marker test : A procedure in which a sample of blood, urine, or tissue is checked to measure the amounts of certain substances made by organs, tissues, or tumor cells in the body. Certain substances are linked to specific types of cancer when found in increased levels in the body. These are called tumor markers. Higher than normal levels of carcinoembryonic antigen (CEA) and CA 19-9 may mean there is bile duct cancer.    -   Ultrasound exam : A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs, such as the abdomen, and make echoes. The echoes form a picture of body tissues called a sonogram. The picture can be printed to be looked at later.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the abdomen, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -  MRCP (magnetic resonance cholangiopancreatography): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body such as the liver, bile ducts, gallbladder, pancreas, and pancreatic duct.
                    Different procedures may be used to obtain a sample of tissue and diagnose bile duct cancer. Cells and tissues are removed during a biopsy so they can be viewed under a microscope by a pathologist to check for signs of cancer. Different procedures may be used to obtain the sample of cells and tissue. The type of procedure used depends on whether the patient is well enough to have surgery.    Types of biopsy procedures include the following:         -   Laparoscopy : A surgical procedure to look at the organs inside the abdomen, such as the bile ducts and liver, to check for signs of cancer. Small incisions (cuts) are made in the wall of the abdomen and a laparoscope (a thin, lighted tube) is inserted into one of the incisions. Other instruments may be inserted through the same or other incisions to perform procedures such as taking tissue samples to be checked for signs of cancer.    -   Percutaneous transhepatic cholangiography (PTC): A procedure used to x-ray the liver and bile ducts. A thin needle is inserted through the skin below the ribs and into the liver. Dye is injected into the liver or bile ducts and an x-ray is taken. A sample of tissue is removed and checked for signs of cancer. If the bile duct is blocked, a thin, flexible tube called a stent may be left in the liver to drain bile into the small intestine or a collection bag outside the body. This procedure may be used when a patient cannot have surgery.    -   Endoscopic retrograde cholangiopancreatography (ERCP): A procedure used to x-ray the ducts (tubes) that carry bile from the liver to the gallbladder and from the gallbladder to the small intestine. Sometimes bile duct cancer causes these ducts to narrow and block or slow the flow of bile, causing jaundice. An endoscope is passed through the mouth and stomach and into the small intestine. Dye is injected through the endoscope (thin, tube-like instrument with a light and a lens for viewing) into the bile ducts and an x-ray is taken. A sample of tissue is removed and checked for signs of cancer. If the bile duct is blocked, a thin tube may be inserted into the duct to unblock it. This tube (or stent) may be left in place to keep the duct open. This procedure may be used when a patient cannot have surgery.",CancerGov,Bile Duct Cancer (Cholangiocarcinoma)
Who is at risk for Biliary Atresia? ?,"Biliary atresia is rare and only affects about one out of every 18,000 infants.1 The disease is more common in females, premature babies, and children of Asian or African American heritage.",NIDDK,Biliary Atresia
What is (are) Botulism ?,"Botulism is a rare but serious illness. The cause is a toxin (poison) made by a bacterium called Clostridium botulinum. It occurs naturally in soil.     There are several kinds of botulism. Foodborne botulism comes from eating foods contaminated with the toxin. Wound botulism happens when a wound infected with the bacteria makes the toxin. It is more common in heroin users. Infant botulism happens when a baby consumes the spores of the bacteria from soil or honey. All forms can be deadly and are medical emergencies.    Symptoms include double or blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, and muscle weakness. Treatment may include antitoxins, intensive medical care, or surgery of infected wounds.    To prevent botulism:       -  Be very careful when canning foods at home    -  Do not let babies eat honey    - Get prompt medical care for infected wounds       Centers for Disease Control and Prevention",MPlusHealthTopics,Botulism
How to diagnose Breast Cancer ?,"Most cancers in their early, most treatable stages do not cause any symptoms. That is why it's important to have regular tests to check for cancer long before you might notice anything wrong. Detecting Breast Cancer Through Screening When breast cancer is found early, it is more likely to be treated successfully. Checking for cancer in a person who does not have any symptoms is called screening. Screening tests for breast cancer include, among others, clinical breast exams and mammograms. Recent studies have shown that ultrasound and MRI's may also be useful complementary screening tools, particularly in women with mammograms that are not definitive. During a clinical breast exam, the doctor or other health care professional checks the breasts and underarms for lumps or other changes that could be a sign of breast cancer.  A mammogram is a special x-ray of the breast that often can detect cancers that are too small for a woman or her doctor to feel. (Watch the video to learn more about digital mammography and dense breasts. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Who Should Have a Mammography? Several studies show that mammography screening has reduced the number of deaths from breast cancer. However, some other studies have not shown a clear benefit from mammography. Scientists are continuing to examine the level of benefit that mammography can produce. The U.S. Preventive Services Task Force (USPSTF) recommends a screening mammography for women 50-74 years every two years.  Learn more about the USPSTF mammography recommendations here. Between 5 and 10 percent of mammogram results are abnormal and require more testing. Most of these follow-up tests confirm that no cancer was present. Worried about the cost of a mammogram? Learn about free and low-cost screenings. (Centers for Disease Control and Prevention) How Biopsies are Performed If needed, the most common follow-up test a doctor will recommend is called a biopsy. This is a procedure where a small amount of fluid or tissue is removed from the breast to make a diagnosis. A doctor might perform fine needle aspiration, a needle or core biopsy, or a surgical biopsy. - With fine needle aspiration, doctors numb the area and use a thin needle to remove fluid and/or cells from a breast lump. If the fluid is clear, it may not need to be checked out by a lab.  - For a needle biopsy, sometimes called a core biopsy, doctors use a needle to remove tissue from an area that looks suspicious on a mammogram but cannot be felt. This tissue goes to a lab where a pathologist examines it to see if any of the cells are cancerous.  - In a surgical biopsy, a surgeon removes a sample of a lump or suspicious area. Sometimes it is necessary to remove the entire lump or suspicious area, plus an area of healthy tissue around the edges. The tissue then goes to a lab where a pathologist examines it under a microscope to check for cancer cells.  With fine needle aspiration, doctors numb the area and use a thin needle to remove fluid and/or cells from a breast lump. If the fluid is clear, it may not need to be checked out by a lab. For a needle biopsy, sometimes called a core biopsy, doctors use a needle to remove tissue from an area that looks suspicious on a mammogram but cannot be felt. This tissue goes to a lab where a pathologist examines it to see if any of the cells are cancerous. In a surgical biopsy, a surgeon removes a sample of a lump or suspicious area. Sometimes it is necessary to remove the entire lump or suspicious area, plus an area of healthy tissue around the edges. The tissue then goes to a lab where a pathologist examines it under a microscope to check for cancer cells. Another type of surgical biopsy that removes less breast tissue is called an image-guided needle breast biopsy, or stereotactic biopsy. Eighty percent of U.S. women who have a surgical breast biopsy do not have cancer. However, women who have breast biopsies are at higher risk of developing breast cancer than women who have never had a breast biopsy. Other Detection Methods Magnetic resonance imaging, or MRI, and ultrasound are two other techniques which, as supplements to standard mammography, might help detect breast cancer with greater accuracy. Genetic Detection The most comprehensive study to date of gene mutations in breast cancer, published in September 2012, confirmed that there are four primary subtypes of breast cancer, each with its own biology. The four groups are called intrinsic subtypes of breast cancer and include HER2-enriched (HER2E), Luminal A (LumA), Luminal B (LumB) and Basal-like. The outlook for survival is different for each of these subtypes of breast cancer. Researchers found that one subtype, Basal-like breast cancer, shares many genetic features with a form of ovarian cancer, and that both may respond similarly to drugs that reduce tumor growth or target DNA repair. The authors hope that discovery of these mutations will be an important step in the effort to improve therapies for breast cancer. For the time being, there are no genetic tests that are commercially available based solely on these findings. Soon, however, knowing extensively which breast cancer gene mutations a woman has should help guide precision treatment.",NIHSeniorHealth,Breast Cancer
What causes Brody myopathy ?,"What causes Brody disease? Brody disease can be caused by mutations in the gene ATP2A1. In general, genes contain the information needed to make functional molecules called proteins. These proteins are required for our bodies cells (and ultimately tissues, like our muscles) to work correctly. Gene mutations can result in faulty proteins. The ATP2A1 gene tells the body how to make a protein called SERCA Ca(2+)-ATPase. This protein is involved in moving calcium around in the cell, which is important for normal muscle contraction. Mutations in this gene results in problems with calcium transportation in the cell, and ultimately problems with muscle contraction. Not all people with Brody disease have mutations in the ATP2A1 gene. There are likely other gene mutations, that have not yet been identified, that can cause this disease.",GARD,Brody myopathy
What causes Broken Heart Syndrome ?,"The cause of broken heart syndrome isnt fully known. However, extreme emotional or physical stress is believed to play a role in causing the temporary disorder.
                
Although symptoms are similar to those of a heart attack, what is happening to the heart is quite different. Most heart attacks are caused by near or complete blockage of a coronary artery. In broken heart syndrome, the coronary arteries are not blocked, although blood flow may be reduced.
                
Potential Triggers
                
In most cases, broken heart syndrome occurs after an intense and upsetting emotional or physical event. Some potential triggers of broken heart syndrome are:
                
Emotional stressorsextreme grief, fear, or anger, for example as a result of the unexpected death of a loved one, financial or legal trouble, intense fear, domestic abuse, confrontational argument, car accident, public speaking, or even a surprise party.
                
Physical stressorsan asthma attack, serious illness or surgery, or exhausting physical effort.
                
Potential Causes
                
Researchers think that sudden stress releases hormones that overwhelm or stun the heart. (The term stunned is often used to indicate that the injury to the heart muscle is only temporary.) This can trigger changes in heart muscle cells or coronary blood vessels, or both. The heart becomes so weak that its left ventricle (which is the chamber that pumps blood from your heart to your body) bulges and cannot pump well, while the other parts of the heart work normally or with even more forceful contractions. As a result the heart is unable to pump properly. (For more information about the hearts pumping action and blood flow, go to the Health Topics How the Heart Works article.)
                
Researchers are trying to identify the precise way in which the stress hormones affect the heart. Broken heart syndrome may result from a hormone surge, coronary artery spasm, or microvascular dysfunction.
                
Hormone Surge
                
Intense stress causes large amounts of the fight or flight hormones, such as adrenaline and noradrenaline, to be released into your bloodstream. The hormones are meant to help you cope with the stress. Researchers think that the sudden surge of hormones overwhelms and stuns the heart muscle, producing symptoms similar to those of a heart attack.
                
Coronary Artery Spasm
                
Some research suggests that the extreme stress causes a temporary, sudden narrowing of one of the coronary arteries as a result of a spasm. The spasm slows or stops blood flow through the artery and starves part of the heart of oxygen-rich blood.
                
Microvascular Dysfunction
                
Another theory that is gaining traction is that the very small coronary arteries (called microvascular arteries) do not function well due to low hormone levels occurring before or after menopause. The microvascular arteries fail to provide enough oxygen-rich blood to the heart muscle.",NHLBI,Broken Heart Syndrome
